navn,område,vand,note,kilde
Maribo Søndersø (Maribo Vildtreservat),"54.715,11.440,54.778,11.560",tvivl,Vildtreservat: sejlads forbudt hele året i dele af søen og i perioder (1/3 eller 1/9–4/6) i andre dele; sejlads nærmere end 50 m fra rørkanter forbudt 1/3–4/6 (undtaget rosportsanlægget); wind- og kitesurfing forbudt. Årlige algeopblomstringer om sommeren. Officielt badested ved Maribo Søbadeanstalt (udmærket).,https://www.naturparkmaribo.dk/p/infotavle_maribo_vildtreservat_333x459mm_tryk_print.pdf
Tissø (Tissø Vildtreservat),"55.540,11.230,55.612,11.322",tvivl,"Vildtreservat: brætsejlads, motorbåd over 5 knob og sejlads med udlejningsfartøjer er forbudt; færdsel forbudt 1/4–15/7 i den sydøstlige del og 100 m ud fra bredden der. Ingen officielle badesteder. Tjek om pumpfoil regnes som brætsejlads.",https://naturstyrelsen.dk/media/arrhzkq5/infotavle_tissoe_vildtreservat_333x459mm_tryk.pdf
Haraldsted Sø (Langesø) og Lillesø,"55.474,11.730,55.496,11.830",tvivl,"Badning er tilladt, men Ringsted Kommune frarådede badning pga. blågrønalger i 5 uger (juli–august 2026) i Lillesø og 2 uger i august 2026 i Langesø. På Haraldsted Sø/Langesø må kun sejles med robåd, kano, kajak eller jolle med el-motor.",https://ringsted.dk/borger/natur-miljoe-trafik/badesoeer-og-blaa-flag
Gyrstinge Sø,"55.490,11.650,55.515,11.725",tvivl,"Officielt badested med udmærket kvalitet, men badning er kun tilladt i begrænset omfang, og sejlads må som udgangspunkt kun ske med robåde eller joller. Tjek om pumpfoil er tilladt.",https://ringsted.cowiplan.dk/kommuneplan/kommuneplan-2021-2033/hovedstruktur-retningslinjer-og-redegoerelser/4-blaa-og-groenne-strukturer/42-haraldsted-soe-og-gyrstinge-soe/
Glumsø Sø,"55.345,11.680,55.360,11.700",tvivl,Næstved Kommune har frarådet badning i perioder: blågrønalger i juli 2025 og igen i 2026.,https://www.naestved.dk/nyheder/nyheder-2025/blaagroenne-alger-i-glumsoe-soe
Køge Havn,"55.4530,12.180,55.4700,12.2130",tvivl,Køge Havns ordensreglement § 24: badning fra skibe eller bolværker og brug af sejlbrætter o.l. kræver havnemyndighedens tilladelse. Erhvervshavn med skibstrafik.,https://koegehavn.dk/wp-content/uploads/2023/02/Ordensreglement_Koege_Havn_2023.pdf
Nakskov Havn (inderhavnen),"54.824,11.105,54.840,11.140",tvivl,"Erhvervs- og lystbådehavn med skibstrafik, ikke officielt badevand. Badning og vandsport i havnebassinet kræver som regel havnens tilladelse. Et havnebad i de gamle færgelejer er planlagt.",https://folketidende.dk/lolland/stort-millionbeloeb-til-nyt-havnebad
Præstø Fjord Vildtreservat,"55.090,12.030,55.200,12.260",,"Vildtreservat: wind- og kitesurfing og motorsejlads over 6 knob er forbudt i dele af fjorden (se kortet), og færdsel er forbudt 1/4–15/7 ved Lilleholm og Maderne. Pumpfoil er ikke nævnt.",https://sgavmst.dk/media/waqbqruy/infotavle_paestoe_vildtreservat_333x459mm_tryk.pdf
"Ulvshale-Nyord Vildtreservat (Stege Bugt, Jungshoved Nor)","55.020,12.100,55.090,12.300",tvivl,"Vildtreservat: brætsejlads forbudt i Hegnede Bugt og på Ægholm Sand, sejladsforbud 1/3–31/7 i dele af farvandet og færdselsforbud omkring Ægholm, Tyreholm og Sækkesand. Tjek kortet for det konkrete sted.",https://sgavmst.dk/media/esqhceht/infotavle_ulvshale-nyord_vildtreservat_333x459mm_tryk3.pdf
Sorø Sø,"55.415,11.530,55.450,11.565",,"Officielle badesteder med udmærket kvalitet, men blågrønalger kan forekomme i sensommeren; kommunen frarådede badning ved Skjolden og Parnas i september 2020.",https://www.tv2east.dk/soro/soro-so-ramt-af-giftige-alger-pas-pa-dit-kaeledyr-ikke-drikker-vandet
Lollands sydkyst,"54.620,11.100,54.720,11.860",,"Guldborgsund Kommune har observeret bræmmer af blågrønalger langs Lollands sydkyst og Falsters østkyst, især på syd- og østvendte kyster efter varme perioder.",https://www.guldborgsund.dk/borger/miljoe-energi-og-affald/badevand
Falsters østkyst (Hesnæs–Gedser),"54.560,11.925,54.830,12.160",,"Guldborgsund Kommune har observeret bræmmer af blågrønalger langs Falsters østkyst fra Hesnæs til Gedser, især efter varme perioder.",https://www.guldborgsund.dk/borger/miljoe-energi-og-affald/badevand
