navn,område,vand,note,kilde
Brabrand Sø,"56.1376,10.0961,56.1504,10.1437",nej,"Badning frarådes: mange overskridelser af E. coli og giftige blågrønalger de fleste somre.",https://datajournalistik.mediajungle.dk/2023/11/24/kan-man-stadig-ikke-bade-i-aarhus-stoerste-soe/
Årslev Engsø,"56.1321,10.0409,56.1468,10.0891",tvivl,"Engsø opstrøms Brabrand Sø. Ikke badevand, og der er ikke fundet oplysninger om badning.",
Egå Engsø,"56.2110,10.2102,56.2226,10.2341",nej,"Badning og sejlads er ikke tilladt (fuglebeskyttelse). Lavvandet, ca. 1 m.",https://aarhus.dk/media/wrcnoxfp/egaa-engsoe.pdf
Aarhus inderhavn / Aarhus Å's udløb,"56.1500,10.2090,56.1570,10.2220",nej,"Permanent badeforbud i inderhavnen ved Aarhus Å's udløb (Dokk1) på grund af bakterier og skibstrafik.",https://dinavis.dk/aarhus/ECE16282876/her-maa-du-aldrig-bade/
Egåens udløb (ca. position),"56.2045,10.2860,56.2075,10.2915",nej,"Permanent badeforbud 100 m på hver side af Egåens udløb syd for Egå Marina.",https://dinavis.dk/aarhus/ECE16282876/her-maa-du-aldrig-bade/
"Gudenåen, havnen og fjorden i Randers","56.4300,9.9800,56.5900,10.2900",nej,"Randers Kommune fraråder badning i Gudenåen, havnen og fjorden: vandet måles ikke, spildevand løber over ved regn, og der er strøm og bådtrafik. Badning i havnen kræver tilladelse.",https://www.randers.dk/oplev/ved-aa-soe-og-fjord/badevand/badning-i-gudenaaen-havnen-og-fjorden/
Silkeborg Langsø,"56.1603,9.5089,56.1772,9.5998",tvivl,"Blågrønalger og grønt, uklart vand om sommeren (kommunen: bad ikke, hvis vandet er grønt og uklart). Spildevand kan løbe over ved kraftig regn.",https://silkeborg.dk/outdoor/badesteder/silkeborg-langsoe
Tjele Langsø,"56.5172,9.5947,56.5607,9.7127",tvivl,"Perioder med giftige blågrønalger, hvor Viborg Kommune har frarådet badning eller lukket for adgang.",https://viborg-folkeblad.dk/artikel/hop-ikke-i-vandet-i-tjele-langsø-giftige-alger-fundet-flere-steder
Viborg Nørresø og Søndersø,"56.4300,9.3900,56.4900,9.4600",,"Officielle badesteder med udmærket kvalitet, men blågrønalger kan forekomme efter varme perioder. Søndersø har dårlig økologisk tilstand.",https://viborg.dk/oplevelser-og-fritid/ud-i-naturen/aktiviteter-paa-og-ved-vandet/badesteder-og-badevand/badesteder-og-badevandsprofiler/
Skanderborg-søerne,"55.9900,9.8000,56.0600,9.9500",,"Skanderborg Kommune har advaret mod blågrønalger i søerne i varme perioder – tjek kommunens badevandsinfo.",https://skanderborgliv.dk/skanderborgliv-dk/badesoeerne-lokker-i-sommersolen-men-hvad-med-vandkvaliteten-vi-har-spurgt-hos-kommunen
Ring Sø (Brædstrup),"55.9580,9.5900,55.9700,9.6150",,"Horsens Kommune har i perioder frarådet badning på grund af blågrønalger.",https://horsens.dk/omhorsenskommune/presse/pressemeddelelser/undgaabadningiringsoe-blaagroennealgersaetterenstopperfordukkerten
Stavns Fjord vildtreservat (Samsø),"55.8743,10.6100,55.9197,10.6882",tvivl,"Vildtreservat: windsurfing og snorkling er forbudt, og der er fartgrænse for motorbåde. Pumpfoil er ikke nævnt i reglerne, så tjek dem.",https://www.retsinformation.dk/eli/lta/1999/661
Horsens Nørrestrand vildtreservat,"55.8689,9.8544,55.8802,9.9056",tvivl,Vildtreservat: sejlads er forbudt 1. april–15. juli. Lavvandet.,https://mst.dk/media/lkpl1uos/infotavle_horsens-noerrestrand_070314_.pdf
