id,vurdering,type,navn,område,koordinater,begrundelse,vurderet,kategorier,score,antal_objekter,tæt_på_spot,auto_koordinater,osm,osm_status,fundet
k-way1179967558,på kortet,,Aarhus Kano- og Kajakklub,Aarhus,,,,flydebro kajakklub roklub bro havn sejlklub slæbested,8.0,9,aarhus-roklub,"56.1637287, 10.2189780",way/1179967558 way/1179967559 node/10199084522 node/12522426663 node/12522426666 node/3228002022 node/7168960819 way/488234079 way/539879996,ok,2026-09-24
k-way316238083,,,Rungsted Roklub,Rungsted,,,,flydebro kajakklub roklub badebro badested bro slæbested,8.0,11,,"55.8818916, 12.5456147",way/316238083 way/196598556 way/196598563 node/13994553476 node/3223497989 way/1349200280 way/1349200281 way/1349200282 way/1349200283 way/914082644 way/914082702,ok,2026-09-24
k-node11405971129,,,Struer Roklub,Bremdal,,,,flydebro kajakklub roklub badebro badested bro,7.5,6,,"56.5012917, 8.5846685",node/11405971129 way/286593929 way/84450481 way/93077637 node/13917480348 way/286593931,ok,2026-09-24
k-node12346083800,,,Ballebro,Ballebro,,,,flydebro badebro badested bro havn slæbested,7.5,8,,"54.9994597, 9.6695688",node/12346083800 way/456114529 node/13919621144 node/3545281717 way/350042664 way/350042667 way/350042668 way/659119595,ok,2026-09-24
k-relation10880890,,,Sæby Ro- & Kajakklub,Sæby,,,,flydebro kajakklub roklub bro sejlklub slæbested,7.5,5,,"57.3345540, 10.5284494",relation/10880890 way/316731463 way/316664655 node/13019618192 way/316731464,ok,2026-09-24
k-relation16251542,,,Danske Studenters Roklub's roforpost,Østerbro,,,,flydebro roklub badebro badested bro slæbested,7.5,13,,"55.7064119, 12.5976061",relation/16251542 way/1308859478 way/1308859479 way/597079936 way/300876541 way/300876542 way/300876543 way/849542813 way/300876540 way/437218400 way/597079933 way/956152414 way/956152415,ok,2026-09-24
k-way110116862,,,Gjøl Ro & Kajakklub,Gjøl,,,,flydebro kajakklub roklub bro havn slæbested,7.5,8,,"57.0623899, 9.6999677",way/110116862 way/110116874 way/110116881 way/212837162 node/1350276935 node/6130393158 way/190666164 way/512792795,ok,2026-09-24
k-way203707708,,,M2,Østerbro,,,,flydebro kajakklub roklub bro sejlklub slæbested,7.5,35,,"55.7149089, 12.5868403",way/203707708 way/25556825 way/290455336 way/290468445 way/290468446 way/290468455 way/290468489 way/609538565 way/151773079 way/179872775 way/199418845 way/199418847 way/203707706 way/338594720 way/503454469 way/151773087 way/151773090 way/151773096 way/203707711 way/203707712 way/290455337 way/290455338 way/290455339 way/290468068 way/290468069 way/290468073 way/290468074 way/290468075 way/290468447 way/290468448 way/290468449 way/290468450 way/290468451 way/290468452 way/290468490,ok,2026-09-24
k-way278473579,på kortet,,Den Flydende Kajakklub (Klubøen),Lille Grundet,,,,flydebro kajakklub roklub bro sejlklub slæbested,7.5,17,vejle-kajakklub,"55.7081856, 9.5570054",way/278473579 way/278473502 node/13011590121 way/272544233 way/296545481 way/582209626 way/582209627 way/584753359 way/584753361 way/584753362 way/584753363 way/584753364 way/584753365 way/584753366 way/584753367 way/659680076 way/659680077,ok,2026-09-24
k-way291876576,på kortet,,Hvidovre Roklub,Hvidovre,,,,flydebro kajakklub roklub bro havn slæbested,7.5,11,hvidovre-roklub,"55.6258655, 12.4987568",way/291876576 way/291876578 way/98479058 way/98497662 way/1377149210 way/291876574 way/291876575 way/291876577 way/291876579 way/291876580 way/549190776,ok,2026-09-24
